chapter,questions,label
0,Accounting is sometimes called the “language of _____.”,1
0,Financial accounting information ________.,1
0,External users of financial accounting information include all of the following except ________.,1
0,Which of the following groups would have access to managerial accounting information?,1
0,All of the following are examples of managerial accounting activities except ________.,1
0,Which of the following is not true?,1
0,The primary purpose of what type of business is to serve a particular need in the community?,1
0,Which of the following is not an example of a retailer?,1
0,A governmental agency can best be described by which of the following statements?,1
0,Which of the following is likely not a type of not-for-profit entity?,1
0,Which of the following is not considered a stakeholder of an organization?,1
0,Stockholders can best be defined as which of the following?,1
0,Which of the following sell stock on an organized stock exchange such as the New York Stock Exchange?,1
0,All of the following are sustainable methods businesses can use to raise capital (funding) except for ________.,1
0,The accounting information of a privately held company is generally available to all of the following except for ________.,1
0,Which of the following skills/attributes is not a primary skill for accountants to possess?,1
0,Which of the following is typically required for entry-level positions in the accounting profession?,1
0,Typical accounting tasks include all of the following tasks except ________.,1
0,"What type of organization primarily offers tax compliance, auditing, and consulting services?",1
0,Most states require 150 semester hours of college credit for which professional certification?,1
0,Which of the following is not required for the CFE exam?,0
0,Tax planning is a service that accountants provide.,0
0,Which of the following is not a problem with the incoming message?,0
0,Which of the following is not a benefit of Lean Manufacturing?,0
0,Personal Attributes are personal attributes that are a part of the personality.,0
0,Which of the following is not an example of a tax that a business must pay?,0
0,What are examples of products made by manufacturing firms?,0
0,Which of the following is correct about auditors?,0
0,Certified Internal Auditor (CIA) is a designation for a certified auditor.,0
0,"Cost and managerial accounting is prepared on an as-needed basis, but not reported as specific periods",0
0,Which of the following is not a reason for sound organizational decisions to be based on financial,0
0,Which of the following is not a goal of Accounting 101?,0
0,Link to Learning Link to Learning Link to Learning Link to Learning Link to Learning Link to Learning Link,0
0,Entrepreneurship is a type of business that is a great way to start a business,0
0,Which of the following is not a term used to describe a business that grants extended credit,0
0,What is the designation of a Certified Public Accountant?,0
0,Financial Accounting is a type of accounting that is used to record financial statements.,0
0,Accounting is a career that serves as a foundation for many other careers.,0
0,Which of the following is not a reason for an external auditor to be hired?,0
0,Which of the following is not a factor that would be considered in a theater manager’,0
0,Financial information public is information that is made public about financial institutions.,0
0,Which of the following is correct about customers?,0
0,Which of the following was not a suspicious activity of Madoff’s investment firm?,0
0,What is a manufacturing business?,0
0,Which of the following is not a professional certification in the areas of financial analysis?,0
0,The National Association of State Boards of Accountancy (NASBA) is a member of,0
0,Accounting Information Services (AIS) provides accounting information services to accounting firms.,0
0,Which of the following is not a type of accounting?,0
0,Link to Learning Link to Learning Link to Learning Link to Learning Link to Learning Link to Learning Link,0
0,Which of the following is correct about stock?,0
0,Which of the following is not a good source of information about the Madoff scandal?,0
0,Cost and managerial accounting information are intended to be used inside a business.,0
0,"The SEC regulates firms that issue and trade securities—stocks, bonds, and other",0
0,Which of the following is not a service that a public accounting firm would provide?,0
0,What is the most common type of accounting service that a business uses?,0
0,Which of the following is not a requirement for a CPA license in Ohio?,0
0,Creditors are required to pay the debtors.,0
0,What is the downside of a franchise arrangement?,0
0,Which of the following is correct about governmental accounting?,0
0,"In a for-profit business, accounting information is used to measure the financial performance of the",0
1,"A measurement is considered ______­ if it actually measures what it is intended to measure, according to the topic of the study.",1
1,Sociological studies test relationships in which change in one ______ causes change in another.,1
1,"In a study, a group of 10-year-old boys are fed doughnuts every morning for a week and then weighed to see how much weight they gained. Which factor is the dependent variable?",1
1,Which statement provides the best operational definition of “childhood obesity”?,1
1,Which materials are considered secondary data?,1
1,What method did researchers John Mihelich and John Papineau use to study Parrotheads?,1
1,Why is choosing a random sample an effective way to select participants?,1
1,What research method did John S. Lynd and Helen Merrell Lynd mainly use in their Middletown study?,1
1,Which research approach is best suited to the scientific method?,1
1,Which best describes the results of a case study?,1
1,Using secondary data is considered an unobtrusive or ________ research method.,1
1,Which person or organization defined the concept of value neutrality?,1
1,"To study the effects of fast food on lifestyle, health, and culture, from which group would a researcher ethically be unable to accept funding?",1
1,What did Richard Sennett use secondary data to study?,0
1,What is the first step of the scientific method?,0
1,Which of the following is not a problem with calculating the percentage of teenagers who drop,0
1,Which of the following is not a typical marketing poll?,0
1,Variable independent variable variable with variable variable variable variable variable variable variable variable variable variable variable variable variable,0
1,Which of the following was not a result of the traffic study?,0
1,Dependent Variable Variable Dependent Variable Dependent Variable Dependent Variable Depend,0
1,Which of the following is not a case study?,0
1,What is the advantage of secondary data?,0
1,Which of the following is not a topic for Barbara Ehrenreich’s book?,0
1,Which of the following is not an independent variable?,0
1,What is the observation of the social perspective and values of an entire social setting called?,0
1,What would an ethnographer do to observe a spiritual retreat center?,0
1,What is the main focus of an ethnographic study?,0
1,Math Grades in the Elementary School of Education.,0
1,What was the purpose of Rodney Rothman’s “fake job”?,0
1,Which of the following is not a benefit of a sociological interview?,0
1,Which of the following is not an independent variable in the police prejudice experiment?,0
1,What are researchers required to do to protect the privacy of their participants whenever possible?,0
1,The Scientific Method is a scientific method that uses the scientific method to study the scientific method.,0
1,What is Parrothead culture?,0
1,What is the first step in conducting background research?,0
1,Interpretive Framework: What is the Interpretive Framework?,0
1,What do Parrotheads do?,0
1,Middletown: A Study in Modern American Culture became an instant bestseller in 1929.,0
1,What is a quantitative data collection technique that allows researchers to collect data in numerical form?,0
2,"In most countries, elderly women ______ than elderly men.",1
2,America’s baby boomer generation has contributed to all of the following except:,1
2,The measure that compares the number of men to women in a population is ______.,1
2,The “graying of the United States” refers to ________.,1
2,What is the approximate median age of the United States?,1
2,Thanatology is the study of _____.,1
2,"In Erik Erikson’s developmental stages of life, with which challenge must older people struggle?",1
2,"Who wrote the book On Death and Dying, outlining the five stages of grief?",1
2,"For individual people of a certain culture, the life course is ________.",1
2,"In the United States, life expectancy rates in recent decades have ______.",1
2,Today in the United States the poverty rate of the elderly is ______.,1
2,Which action reflects ageism?,1
2,Which factor most increases the risk of an elderly person suffering mistreatment?,1
2,"If elderly people suffer abuse, it is most often perpetrated by ______.",1
2,Veterans are two to four times more likely to ______ as people who did not serve in the military.,1
2,Which assertion about aging in men would be made by a sociologist following the functionalist perspective?,1
2,What is the primary driver of modernization theory?,1
2,The Age Discrimination in Employment Act counteracts which theory?,1
2,Which of the following is not a type of elder abuse?,0
2,Which of the following is not a challenge that Erik Erikson describes in his life span?,0
2,What are the hallmarks of social and psychological change?,0
2,What has allowed the elderly to live longer?,0
2,What is the main difference between the attitudes toward the elderly and those toward the younger age group?,0
2,Which of the following is correct about WWII veterans?,0
2,"People tend to view death as a natural conclusion to a long, fruitful life,",0
2,Which of the following is correct about the average age of corporate executives in the United States?,0
2,What is a group of people who share a statistical or demographic trait called?,0
2,What is the idea that one may stop working at a certain age?,0
2,Sexual abuse is a serious problem in the United States.,0
2,What is the difference between men and women in age?,0
2,13.1 Who Are the Elderly?,0
2,What is ageism?,0
2,Which of the following is not a character in a movie?,0
2,Which of the following is not a problem for the elderly?,0
2,What is the current issue of aging?,0
2,Which of the following is not true?,0
2,Functionalists are concerned with how the parts of society work together.,0
2,What is the definition of age stratification?,0
2,What is the first stage of life?,0
2,Which of the following is not true of aging boomers?,0
2,Which of the following is not a policy recommendation for aging for LGBT people?,0
2,What is age in the population a key factor in?,0
2,What was the risk of death due to disease or accident during the early human history?,0
2,What was the medical specialty of Dr. Ignatz Nascher focusing on?,0
2,Which of the following is not a risk factor for elder abuse?,0
2,What is the term for the cohort born between 1946 and 1964 and just now reaching age 65?,0
2,Emotional/psychological abuse is a form of abuse that can be attributed to,0
2,Which of the following is not a legal assisted suicide?,0
2,What is gerontology?,0
2,Which of the following is correct about the death with dignity laws?,0
2,Which of the following is correct about Social Security and Medicare?,0
2,"According to Lars Tornstam, as people age, they transcend the limited views of life",0
2,What was Nascher’s approach to geriatrics considered unique?,0
2,What is the theory that seniors naturally withdraw from society as they age?,0
3,Which of the following is the primary source of revenue for a service business?,1
3,Which of the following is the primary source of revenue for a merchandising business?,1
3,Which of the following is the primary source of revenue for a manufacturing business?,1
3,Which of the following represents the components of the income statement for a service business?,1
3,Which of the following represents the components of the income statement for a manufacturing business?,1
3,Which of the following represents the components of the income statement for a merchandising business?,1
3,Conversion costs include all of the following except :,1
3,Which of the following is not considered a product cost?,1
3,Fixed costs are expenses that ________.,1
3,Variable costs are expenses that ________.,1
3,Which of the following would not be classified as manufacturing overhead?,1
3,Which of the following are prime costs?,1
