chapter,question,context
0,Which of the following is a cause of the stock market crash of 1929?,"The Florida land boom went bust in 1925 – 1926 . A combination of negative press about the speculative nature of the boom , IRS investigations into the questionable financial practices of several land brokers , and a railroad embargo that limited the delivery of construction supplies into the region significantly hampered investor interest . The subsequent Great Miami Hurricane of 1926 drove most land developers into outright bankruptcy . However , speculation continued throughout the decade , this time in the stock market .  Buyers purchased stock “ on margin ” — buying for a small down payment with borrowed money , with the intention of quickly selling at a much higher price before the remaining payment came due — which worked well as long as prices continued to rise .  Speculators were aided by retail stock brokerage firms , which catered to average investors anxious to play the market but lacking direct ties to investment banking houses or larger brokerage firms . When prices began to fluctuate in the summer of 1929 , investors sought excuses to continue their speculation . When fluctuations turned to outright and steady losses , everyone started to sell . As September began to unfold , the Dow Jones Industrial Average peaked at a value of 381 points , or roughly ten times the stock market ’ s value , at the start of the 1920s ."
0,Which of the following groups would not be considered “the deserving poor” by social welfare groups and humanitarians in the 1930s?," As the effects of the Great Depression worsened , wealthier Americans had particular concern for “ the deserving poor ” — those who had lost all of their money due to no fault of their own .  This concept gained greater attention beginning in the Progressive Era of the late nineteenth and early twentieth centuries , when early social reformers sought to improve the quality of life for all Americans by addressing the poverty that was becoming more prevalent , particularly in emerging urban areas . By the time of the Great Depression , social reformers and humanitarian agencies had determined that the “ deserving poor ” belonged to a different category from those who had speculated and lost . However , the sheer volume of Americans who fell into this group meant that charitable assistance could not begin to reach them all . Some fifteen million “ deserving poor , ” or a full one-third of the labor force , were struggling by 1932 . The country had no mechanism or system in place to help so many ; however , Hoover remained adamant that such relief should rest in the hands of private agencies , not with the federal government ( Figure 25.7 ) ."
0,"Which of the following protests was directly related to federal policies, and thus had the greatest impact in creating a negative public perception of the Hoover presidency?"," One of the most notable protest movements occurred toward the end of Hoover ’ s presidency and centered on the Bonus Expeditionary Force , or Bonus Army , in the spring of 1932 .  In this protest , approximately fifteen thousand World War I veterans marched on Washington to demand early payment of their veteran bonuses , which were not due to be paid until 1945 . The group camped out in vacant federal buildings and set up camps in Anacostia Flats near the Capitol building ( Figure 25.10 ) ."
0,Which of the following groups or bodies did not offer direct relief to needy people?,"In keeping with these principles , Hoover ’ s response to the crash focused on two very common American traditions : He asked individuals to tighten their belts and work harder , and he asked the business community to voluntarily help sustain the economy by retaining workers and continuing production . He immediately summoned a conference of leading industrialists to meet in Washington , DC , urging them to maintain their current wages while America rode out this brief economic panic . The crash , he assured business leaders , was not part of a greater downturn ; they had nothing to worry about . Similar meetings with utility companies and railroad executives elicited promises for billions of dollars in new construction projects , while labor leaders agreed to withhold demands for wage increases and workers continued to labor . Hoover also persuaded Congress to pass a $ 160 million tax cut to bolster American incomes , leading many to conclude that the president was doing all he could to stem the tide of the panic . In April 1930 , the New York Times editorial board concluded that “ No one in his place could have done more . ” However , these modest steps were not enough . By late 1931 , when it became clear that the economy would not improve on its own , Hoover recognized the need for some government intervention .  He created the President ’ s Emergency Committee for Employment ( PECE ) , later renamed the President ’ s Organization of Unemployment Relief ( POUR ) .   In keeping with Hoover ’ s distaste of what he viewed as handouts , this organization did not provide direct federal relief to people in need .  Instead , it assisted state and private relief agencies , such as the Red Cross , Salvation Army , YMCA , and Community Chest . Hoover also strongly urged people of means to donate funds to help the poor , and he himself gave significant private donations to worthy causes . But these private efforts could not alleviate the widespread effects of poverty . Congress pushed for a more direct government response to the hardship . In 1930 – 1931 , it attempted to pass a $ 60 million bill to provide relief to drought victims by allowing them access to food , fertilizer , and animal feed . Hoover stood fast in his refusal to provide food , resisting any element of direct relief . The final bill of $ 47 million provided for everything except food but did not come close to adequately addressing the crisis . Again in 1931 , Congress proposed the Federal Emergency Relief Bill , which would have provided $ 375 million to states to help provide food , clothing , and shelter to the homeless . But Hoover opposed the bill , stating that it ruined the balance of power between states and the federal government , and in February 1932 , it was defeated by fourteen votes . However , the president ’ s adamant opposition to direct-relief federal government programs should not be viewed as one of indifference or uncaring toward the suffering American people . His personal sympathy for those in need was boundless . Hoover was one of only two presidents to reject his salary for the office he held . Throughout the Great Depression , he donated an average of $ 25,000 annually to various relief organizations to assist in their efforts . Furthermore , he helped to raise $ 500,000 in private funds to support the White House Conference on Child Health and Welfare in 1930 . Rather than indifference or heartlessness , Hoover ’ s steadfast adherence to a philosophy of individualism as the path toward long-term American recovery explained many of his policy decisions . “ A voluntary deed , ” he repeatedly commented , “ is infinitely more precious to our national ideal and spirit than a thousand-fold poured from the Treasury . ”"
0,Which of the following hardships did African Americans not typically face during the Great Depression?,"In cities , African Americans fared no better .  Unemployment was rampant , and many Whites felt that any available jobs belonged to Whites first .   In some Northern cities , Whites would conspire to have African American workers fired to allow White workers access to their jobs .   Even jobs traditionally held by Black workers , such as household servants or janitors , were now going to Whites .   By 1932 , approximately one-half of all Black Americans were unemployed .   Racial violence also began to rise .   In the South , lynching became more common again , with twenty-eight documented lynchings in 1933 , compared to eight in 1932 .  Since communities were preoccupied with their own hardships , and organizing civil rights efforts was a long , difficult process , many resigned themselves to , or even ignored , this culture of racism and violence . Occasionally , however , an incident was notorious enough to gain national attention . Most African Americans did not participate in the land boom and stock market speculation that preceded the crash , but that did not stop the effects of the Great Depression from hitting them particularly hard . Subject to continuing racial discrimination , Blacks nationwide fared even worse than their hard-hit White counterparts .  As the prices for cotton and other agricultural products plummeted , farm owners paid workers less or simply laid them off .  Landlords evicted sharecroppers , and even those who owned their land outright had to abandon it when there was no way to earn any income ."
0,Which of the following was not a key factor in the conditions that led to the Dust Bowl?," Livestock died , or had to be sold , as there was no money for feed .   Crops intended to feed the family withered and died in the drought .  Terrifying dust storms became more and more frequent , as “ black blizzards ” of dirt blew across the landscape and created a new illness known as “ dust pneumonia . ” In 1935 alone , over 850 million tons of topsoil blew away . To put this number in perspective , geologists estimate that it takes the earth five hundred years to naturally regenerate one inch of topsoil ; yet , just one significant dust storm could destroy a similar amount .  In their desperation to get more from the land , farmers had stripped it of the delicate balance that kept it healthy .   Unaware of the consequences , they had moved away from such traditional practices as crop rotation and allowing land to regain its strength by permitting it to lie fallow between plantings , working the land to death .  Exacerbating the problem was a massive drought that began in 1931 and lasted for eight terrible years .  Dust storms roiled through the Great Plains , creating huge , choking clouds that piled up in doorways and filtered into homes through closed windows .   Even more quickly than it had boomed , the land of agricultural opportunity went bust , due to widespread overproduction and overuse of the land , as well as to the harsh weather conditions that followed , resulting in the creation of the Dust Bowl ( Figure 25.13 ) . "
0,Which assessment of Herbert Hoover’s presidency is most accurate?,"As so much of the Hoover presidency is circumscribed by the onset of the Great Depression , one must be careful in assessing his successes and failures , so as not to attribute all blame to Hoover . Given the suffering that many Americans endured between the fall of 1929 and Franklin Roosevelt ’ s inauguration in the spring of 1933 , it is easy to lay much of the blame at Hoover ’ s doorstep ( Figure 25.16 ) . However , the extent to which Hoover was constrained by the economic circumstances unfolding well before he assumed office offers a few mitigating factors .  Put simply , Hoover did not cause the stock market crash .   However , his stubborn adherence to a questionable belief in “ American individualism , ” despite mounting evidence that people were starving , requires that some blame be attributed to his policies ( or lack thereof ) for the depth and length of the Depression .  Yet , Hoover ’ s presidency was much more than simply combating the Depression . To assess the extent of his inability to provide meaningful national leadership through the darkest months of the Depression , his other policies require consideration ."
0,Which of the following phrases best characterizes Herbert Hoover’s foreign policy agenda?,"Although it was a relatively quiet period for U . S . diplomacy , Hoover did help to usher in a period of positive relations , specifically with several Latin American neighbors . This would establish the basis for Franklin Roosevelt ’ s “ Good Neighbor ” policy .  After a goodwill tour of Central American countries immediately following his election in 1928 , Hoover shaped the subsequent Clark Memorandum — released in 1930 — which largely repudiated the previous Roosevelt Corollary , establishing a basis for unlimited American military intervention throughout Latin America .   To the contrary , through the memorandum , Hoover asserted that greater emphasis should be placed upon the older Monroe Doctrine , in which the U . S . pledged assistance to her Latin American neighbors should any European powers interfere in Western Hemisphere affairs .  Hoover further strengthened relations to the south by withdrawing American troops from Haiti and Nicaragua . Additionally , he outlined with Secretary of State Henry Stimson the Hoover-Stimson Doctrine , which announced that the United States would never recognize claims to territories seized by force ( a direct response to the recent Japanese invasion of Manchuria ) . Other diplomatic overtures met with less success for Hoover . Most notably , in an effort to support the American economy during the early stages of the Depression , the president signed into law the Smoot-Hawley Tariff in 1930 . The law , which raised tariffs on thousands of imports , was intended to increase sales of American-made goods , but predictably angered foreign trade partners who in turn raised their tariffs on American imports , thus shrinking international trade and closing additional markets to desperate American manufacturers . As a result , the global depression worsened further . A similar attempt to spur the world economy , known as the Hoover Moratorium , likewise met with great opposition and little economic benefit . Issued in 1931 , the moratorium called for a halt to World War I reparations to be paid by Germany to France , as well as forgiveness of Allied war debts to the U . S ."
1,To what form of government did the American revolutionaries turn after the war for independence?,"While monarchies dominated eighteenth-century Europe , American revolutionaries were determined to find an alternative to this method of government . Radical pamphleteer Thomas Paine , whose enormously popular essay Common Sense was first published in January 1776 , advocated a republic : a state without a king . Six months later , Jefferson ’ s Declaration of Independence affirmed the break with England but did not suggest what form of government should replace monarchy , the only system most English colonists had ever known . In the late eighteenth century , republics were few and far between . Genoa , Venice , and the Dutch Republic provided examples of states without monarchs , but many European Enlightenment thinkers questioned the stability of a republic .  Nonetheless , after their break from Great Britain , Americans turned to republicanism for their new government . "
1,Which of the following was not one of Franklin’s thirteen virtues?,"11 .  Tranquillity .   Be not disturbed at trifles , or at accidents common or unavoidable .  7 .  Sincerity .   Use no hurtful deceit ; think innocently and justly , and , if you speak , speak accordingly .  1 .  Temperance .   Eat not to dullness ; drink not to elevation .   Defining American Benjamin Franklin ’ s Thirteen Virtues for Character Development In the 1780s , Benjamin Franklin carefully defined thirteen virtues to help guide his countrymen in maintaining a virtuous republic .   His choice of thirteen is telling since he wrote for the citizens of the thirteen new American republics .   These virtues were : "
1,Which of the following figures did not actively challenge the status of women in the early American republic?," Adams , Murray , and Warren all came from privileged backgrounds .   All three were fully literate , while many women in the American republic were not .  Their literacy and station allowed them to push for new roles for women in the atmosphere of unique possibility created by the Revolution and its promise of change .  Female authors who published their work provide evidence of how women in the era of the American Revolution challenged traditional gender roles .   Inspired by the Revolution , Judith Sargent Murray of Massachusetts advocated women ’ s economic independence and equal educational opportunities for men and women ( Figure 7.5 ) .  Murray , who came from a well-to-do family in Gloucester , questioned why boys were given access to education as a birthright while girls had very limited educational opportunities . She began to publish her ideas about educational equality beginning in the 1780s , arguing that God had made the minds of women and men equal .  Another privileged member of the revolutionary generation , Mercy Otis Warren , also challenged gender assumptions and traditions during the revolutionary era ( Figure 7.5 ) .  Born in Massachusetts , Warren actively opposed British reform measures before the outbreak of fighting in 1775 by publishing anti-British works . In 1812 , she published a three-volume history of the Revolution , a project she had started in the late 1770s . By publishing her work , Warren stepped out of the female sphere and into the otherwise male-dominated sphere of public life .  Some women hoped to overturn coverture .   From her home in Braintree , Massachusetts , Abigail Adams ( Figure 7.4 ) wrote to her husband , Whig leader John Adams , in 1776 , “ In the new code of laws which I suppose it will be necessary for you to make , I desire you would remember the ladies and be more generous and favorable to them than your ancestor .  Do not put such unlimited power in the husbands . Remember , all men would be tyrants if they could . ” Abigail Adams ran the family homestead during the Revolution , but she did not have the ability to conduct business without her husband ’ s consent . Elsewhere in the famous 1776 letter quoted above , she speaks of the difficulties of running the homestead when her husband is away . Her frustration grew when her husband responded in an April 1776 letter : “ As to your extraordinary Code of Laws , I cannot but laugh . We have been told that our Struggle has loosened the bands of Government every where . That Children and Apprentices were disobedient — that schools and Colledges were grown turbulent — that Indians slighted their Guardians and Negroes grew insolent to their Masters . But your Letter was the first Intimation that another Tribe more numerous and powerfull than all the rest were grown discontented . . . . Depend on it , We know better than to repeal our Masculine systems . ”"
1,Which state had the clearest separation of church and state?,"During the colonial era in Virginia , the established church had been the Church of England , which did not tolerate Catholics , Baptists , or followers or other religions .  In 1786 , as a revolutionary response against the privileged status of the Church of England , Virginia ’ s lawmakers approved the Virginia Statute for Religious Freedom , which ended the Church of England ’ s hold and allowed religious liberty .  Under the statute , no one could be forced to attend or support a specific church or be prosecuted for his or her beliefs . Prior to the Revolution , several colonies had official , tax-supported churches .  After the Revolution , some questioned the validity of state-authorized churches ; the limitation of public office-holding to those of a particular faith ; and the payment of taxes to support churches .   In other states , especially in New England where the older Puritan heritage cast a long shadow , religion and state remained intertwined . "
1,Which of the following states had the most democratic constitution in the 1780s?,"Conservative Whigs , who distrusted the idea of majority rule , recoiled from the abolition of property qualifications for voting and office holding in Pennsylvania .  Conservative Whig John Adams reacted with horror to the 1776 Pennsylvania constitution , declaring that it was “ so democratical that it must produce confusion and every evil work . ” In his mind and those of other conservative Whigs , this constitution simply put too much power in the hands of men who had no business exercising the right to vote .  Pennsylvania ’ s constitution also eliminated the executive branch ( there was no governor ) and the upper house . Instead , Pennsylvania had a one-house — a unicameral — legislature . The 1776 Pennsylvania constitution and the 1784 New Hampshire constitution both provide examples of democratic tendencies . In Pennsylvania , the requirement to own property in order to vote was eliminated , and if a man was twenty-one or older , had paid taxes , and had lived in the same location for one year , he could vote ( Figure 7.10 ) . This opened voting to most free White male citizens of Pennsylvania .  The 1784 New Hampshire constitution allowed every small town and village to send representatives to the state government , making the lower house of the legislature a model of democratic government . "
1,"Under the Articles of Confederation, what power did the national Confederation Congress have?"," The Confederation Congress under the Articles did achieve success through a series of directives called land ordinances , which established rules for the settlement of western lands in the public domain and the admission of new states to the republic .  The ordinances were designed to prepare the land for sale to citizens and raise revenue to boost the failing economy of the republic . In the land ordinances , the Confederation Congress created the Mississippi and Southwest Territories and stipulated that slavery would be permitted there . The system of dividing the vast domains of the United States stands as a towering achievement of the era , a blueprint for American western expansion ."
1,Which plan resolved the issue of representation for the U.S. Constitution?," Roger Sherman from Connecticut offered a compromise to break the deadlock over the thorny question of representation .   His Connecticut Compromise , also known as the Great Compromise , outlined a different bicameral legislature in which the upper house , the Senate , would have equal representation for all states ; each state would be represented by two senators chosen by the state legislatures .  Only the lower house , the House of Representatives , would have proportional representation ."
1,How was the U.S. Constitution ratified?,"The draft constitution was finished in September 1787 .  The delegates decided that in order for the new national government to be implemented , each state must first hold a special ratifying convention .   When nine of the thirteen had approved the plan , the constitution would go into effect . "
2,Who determines which illnesses are stigmatized?,"People with disabilities can be stigmatized by their illness .  Stigmatization means that their identity is spoiled ; they are labeled as different , discriminated against , and sometimes even shunned .   They are labeled ( as an interactionist might point out ) and ascribed a master status ( as a functionalist might note ) , becoming “ the blind girl ” or “ the boy in the wheelchair ” instead of someone afforded a full identity by society .  This can be especially true for people who are disabled due to mental illness or disorders .  For instance , sociologist Erving Goffman ( 1963 ) described how social stigmas hinder individuals from fully integrating into society .   The stigmatization of illness often has the greatest effect on the patient and the kind of care he or she receives .   Many contend that our society and even our health care institutions discriminate against certain diseases — like mental disorders , AIDS , venereal diseases , and skin disorders ( Sartorius 2007 ) .  Facilities for these diseases may be sub-par ; they may be segregated from other health care areas or relegated to a poorer environment . The stigma may keep people from seeking help for their illness , making it worse than it needs to be . The Cultural Meaning of Illness Many medical sociologists contend that illnesses have both a biological and an experiential component , and that these components exist independently of each other .  Our culture , not our biology , dictates which illnesses are stigmatized and which are not , which are considered disabilities and which are not , and which are deemed contestable ( meaning some medical professionals may find the existence of this ailment questionable ) as opposed to definitive ( illnesses that are unquestionably recognized in the medical profession ) ( Conrad and Barker 2010 ) . "
2,Chronic fatigue syndrome is an example of _______________.," Contested illnesses are those that are questioned or questionable by some medical professionals .   Disorders like fibromyalgia or chronic fatigue syndrome may be either true illnesses or only in the patients ’ heads , depending on the opinion of the medical professional .  This dynamic can affect how a patient seeks treatment and what kind of treatment he or she receives ."
2,The Rating of Perceived Exertion (RPE) is an example of ________________," Today , many institutions of wellness acknowledge the degree to which individual perceptions shape the nature of health and illness .   Regarding physical activity , for instance , the Centers for Disease Control ( CDC ) recommends that individuals use a standard level of exertion to assess their physical activity .   This Rating of Perceived Exertion ( RPE ) gives a more complete view of an individual ’ s actual exertion level , since heart-rate or pulse measurements may be affected by medication or other issues ( Centers for Disease Control 2011a ) .  Similarly , many medical professionals use a comparable scale for perceived pain to help determine pain management strategies .  The Social Construction of the Illness Experience The idea of the social construction of the illness experience is based on the concept of reality as a social construction .   In other words , there is no objective reality ; there are only our own perceptions of it .   The social construction of the illness experience deals with such issues as the way some patients control the manner in which they reveal their disease and the lifestyle adaptations patients develop to cope with their illnesses .  The social construction of health is a major research topic within medical sociology . At first glance , the concept of a social construction of health does not seem to make sense . After all , if disease is a measurable , physiological problem , then there can be no question of socially constructing disease , right ? Well , it ’ s not that simple .  The idea of the social construction of health emphasizes the socio-cultural aspects of the discipline ’ s approach to physical , objectively definable phenomena .  Sociologists Conrad and Barker ( 2010 ) offer a comprehensive framework for understanding the major findings of the last 50 years of development in this concept . Their summary categorizes the findings in the field under three subheadings : the cultural meaning of illness , the social construction of the illness experience , and the social construction of medical knowledge ."
2,What is social epidemiology?," Social epidemiology is the study of the causes and distribution of diseases .  Social epidemiology can reveal how social problems are connected to the health of different populations . These epidemiological studies show that the health problems of high-income nations differ greatly from those of low-income nations . Some diseases , like cancer , are universal . But others , like obesity , heart disease , respiratory disease , and diabetes are much more common in high-income countries , and are a direct result of a sedentary lifestyle combined with poor diet . High-income nations also have a higher incidence of depression ( Bromet et al . 2011 ) . In contrast , low-income nations suffer significantly from malaria and tuberculosis ."
2,Many deaths in high-income nations are linked to __________________," Health in High-Income Nations Obesity , which is on the rise in high-income nations , has been linked to many diseases , including cardiovascular problems , musculoskeletal problems , diabetes , and respiratory issues .   According to the Organization for Economic Cooperation and Development ( 2011 ) , obesity rates are rising in all countries , with the greatest gains being made in the highest-income countries .  The United States has the highest obesity rate . Wallace Huffman and his fellow researchers ( 2006 ) contend that several factors are contributing to the rise in obesity in developed countries : Social epidemiology is the study of the causes and distribution of diseases . Social epidemiology can reveal how social problems are connected to the health of different populations . These epidemiological studies show that the health problems of high-income nations differ greatly from those of low-income nations . Some diseases , like cancer , are universal .  But others , like obesity , heart disease , respiratory disease , and diabetes are much more common in high-income countries , and are a direct result of a sedentary lifestyle combined with poor diet .  High-income nations also have a higher incidence of depression ( Bromet et al . 2011 ) . In contrast , low-income nations suffer significantly from malaria and tuberculosis ."
2,"According to the World Health Organization, what was the most frequent cause of death for children under five in low income countries?"," The most frequent causes of death for children under five were pneumonia and diarrheal diseases , accounting for 18 percent and 15 percent , respectively .  These deaths could be easily avoidable with cleaner water and more coverage of available medical care ."
