chapter,questions,label
0,Which type of Earth scientist might look for petroleum for an oil company?,1
0,Chemical oceanography is the study of the,1
0,The problem of global warming is most likely to be the focus of a scientist known as a,1
0,Which type of Earth scientist would you expect to give a weather report?,1
0,Tools typically used by meteorologists include,1
0,what is the role of environmental scientists?,0
0,physical oceanography is the study of,0
0,which of the following is a source of carbon dioxide?,0
0,Astronomers,0
0,scientists who compare the geology of other planets to earth are,0
0,what is the purpose of a telescope?,0
0,the universe is,0
0,meteorologists study,0
0,earthquakes are monitored by,0
0,"in 2011, there were over",0
1,Factors that determine the size of ocean waves include,1
1,Sediments you are most likely to find on a beach include,1
1,Erosion by ocean waves can cause,1
1,Landforms created by longshore drift include,1
1,A breakwater is most similar to a,1
1,Landforms caused by ocean wave deposition include,1
1,Which series of landforms shows the correct order in which a stretch of rocky shoreline may be eroded?,1
1,a spit is a,0
1,what is the main source of sediment in the ocean?,0
1,erosion by waves can create,0
1,Longshore drift,0
1,which of the following is a factor that determines the size of ocean waves?,0
1,the end of a spit may hook around toward,0
1,All waves are the way energy travels through matter.,0
1,a groin is a wall of rocks or concrete that juts out,0
1,what are breakwaters?,0
1,a photo of a beach deposit is shown in,0
1,the sand on the beach is,0
1,which of the following is true?,0
1,sea stacks are formed when waves,0
1,a wall of exposed rock layers is,0
2,"Today, continental glaciers cover most of",1
2,A trimline shows the,1
2,A headwall is the,1
2,A valley glacier changes a V-shaped river valley to a,1
2,A thick layer of sediments left behind by a retreating continental glacier is called,1
2,what is the role of abrasions?,0
2,Glaciers form when,0
2,"When the ice melts, it leaves a depression.",0
2,which of the following is true about valley glaciers?,0
2,which of the following is true about the rocks?,0
2,the sandstone valley,0
2,the distance from the ice cap to the ocean is,0
2,a valley glacier is,0
2,an arte is a,0
2,"over many years, layer upon layer of snow compacts and turns to ice.",0
3,Fossilized insects have been found preserved in amber which is hardened,1
3,Marine fossils on the top of Mt. Everest indicate,1
3,Which of the following parts of organisms are most likely to be fossilized?,1
3,Preserved traces of organisms might include,1
3,Preserved remains that have become fossils have turned to,1
3,Which type of organisms remains are least likely to be preserved as fossils?,1
3,"To be used as index fossils, fossils must represent an organism that",1
3,fossils are most likely to be,0
3,Fossils are our best clues about the history of life on earth.,0
3,Trilobites were,0
3,fossils from Antarctica show that,0
3,what happens to the organisms that remain in the atmosphere?,0
3,Antarctica is currently almost completely covered with ice.,0
3,the sedimentary rock that forms in the ocean is,0
3,what is the purpose of preserving the original organism?,0
3,fossils are,0
3,which of the following is a fossil?,0
3,the remains inside the rock turn to,0
3,the earliest known human beings were,0
3,the original remains of a fossil are,0
3,fossils are,0
4,The half-life of a radioactive element is,1
4,Absolute ages are based on evidence from,1
4,Which of the following atomic particles may vary for atoms of a given element?,1
4,How many protons are found in each atom of carbon-14?,1
4,which of the following isotopes is stable?,0
4,carbon-14 is,0
4,the best-known method of radiometric dating is,0
4,what is an example of a carbon source?,0
4,"if the earth is left untreated, half of it will",0
4,carbon-12 has how many neutrons?,0
4,carbon-14 has a half-life of,0
4,which of the following is true about the atoms of all elements?,0
5,The densest part of planet Earth is the,1
5,The Sun formed from,1
5,When the solar system first formed,1
5,Gases in the first atmosphere came from,1
5,Our solar system began to form about,1
5,"When the solar nebula contracted and began to spin, it",1
5,"After the sun formed, material at similar distances from the sun collided to form each of the",1
5,"After the oceans formed on Earths surface, the",1
5,the solar nebula is,0
5,"in the early solar system, there was a lot of space debris.",0
5,ice melts when,0
5,the lunar surface is about,0
5,the heat from the atomic bombs caused,0
5,the center of the cloud was,0
5,"In helium fusions,",0
5,the early atmosphere had almost no,0
5,which of the following is a chemical composition of the atmosphere?,0
5,the light elements rose to the surface of the sun.,0
5,what is missing from the acoustic system?,0
5,the material in the disk surrounding the sun collided with,0
5,the cloud that formed in the center of the sun was,0
5,volcanoes,0
5,the collision with the sun occurred about,0
5,the sun formed when material at a similar distance from the sun collided to form each,0
6,The earliest life on Earth,1
6,How do cells make copies of themselves?,1
6,Which of the following is true?,1
6,Earths earliest life forms,1
6,The earliest organisms to photosynthesize,1
6,Continents form when,1
6,Eukaryotes first evolved about,1
6,Which of the following types of organisms evolved first?,1
6,the first icebergs were formed after,0
6,what is the waste product of photosynthesis?,0
6,the ediacara,0
6,the early earth was a,0
6,the earliest crust was probably,0
6,which of the following is true about the first supercontinent?,0
6,what is the role of nucleic acids in the cellular genome?,0
6,the supercontinent before Pangaea is called,0
6,what is the process by which nucleic acids pass through the atom?,0
6,the environment was able to support,0
6,"for the first 4 billion years of earth history, there is only a little evidence of life",0
6,the ediacara fauna,0
6,"if life began before the moon formed, it would have had to",0
6,which of the following is true about a city?,0
6,the first humans were,0
6,which of the following is true?,0
7,What percent of Earths total water is fresh water?,1
7,The water cycle,1
7,The energy for the water cycle comes from,1
7,Most fresh water enters the atmosphere when water evaporates from,1
7,Clouds form when water vapor,1
7,"In infiltration, water goes",1
7,Forms of precipitation include,1
7,Water vapor enters the atmosphere through,1
7,water vapor rises into the atmosphere when,0
7,"When the air is warm, the water",0
7,what happens when water vapor condenses into water droplets?,0
7,Runoff is,0
7,winter is a great time to,0
7,ice caps are formed when,0
7,water evaporates when it gets energy from,0
7,which of the following is true?,0
7,what is the purpose of liquid water?,0
7,The water cycle is powered by energy from,0
7,Why do oceans cover much of the earths surface?,0
7,water changes as it goes through the water cycle.,0
7,water is recycled through the,0
7,"In transpiration, plants release water vapor through their",0
7,why is water so simple?,0
7,how does the rhododendron cycle work?,0
8,The three major groups of marine organisms include,1
8,What type of organism found in the ocean floats along with the current?,1
8,Most plankton are,1
8,What part of a fishs body extracts oxygen from the water?,1
8,All nekton,1
8,Marine organisms that move by crawling are,1
8,Tubeworms obtain food from,1
8,The most important producers in the ocean are,1
8,benthos live near,0
8,what do whales depend on for their food?,0
8,which of the following is true?,0
8,which of the following is a major marine life group?,0
8,what is the main reason that plankton cannot move on their own?,0
8,how do plants make food?,0
8,why do organisms not do photosynthesis?,0
8,which of the following is a food source for the echinoderm?,0
8,which of the following is true about a sandbag?,0
8,which of the following is true?,0
8,which of the following is an example of a parasite?,0
8,What is the most abundant source of nutrients in the atmosphere?,0
8,which of the following is true about benthic organisms?,0
8,what is the purpose of a nutrient-rich diet?,0
8,what is the role of filters in the ocean?,0
8,which of the following is true about phytoplankton?,0
9,When heat is transferred by the movement of electromagnetic waves it is called,1
9,Wavelengths that are short and very high energy are,1
9,Forms of energy include,1
9,Which statement about energy is false?,1
9,Convection occurs in,1
9,Energy can travel through space by,1
9,what is the greenhouse effect?,0
9,which of the following is true?,0
9,which of the following statements is true?,0
9,which of the following is true about radio waves?,0
9,"When the temperature of water rises, it",0
9,gases that absorb heat in the atmosphere are called,0
9,what is the energy that the sun gives off?,0
9,the suns energy travels through space by,0
9,the cool air in a lake is,0
9,What is the effect of a molecule on the body?,0
9,The sun is,0
9,which statement about energy is true?,0
10,Carbon dioxide enters the atmosphere during,1
10,"Without certain organisms that live in soil, plants would not be able to use",1
10,what is the process by which nitrogen is dissolved in water?,0
10,what is the main benefit of adding fertilizer to soil?,0
10,a given amount of land can produce more food.,0
10,Carbon dioxide,0
11,The U.S. depends for energy mainly on,1
11,"Obtaining, refining, and transporting oil require energy. For every 5 barrels of oil we use, the oil required for these purposes is",1
11,which of the following is a resource that is used more than any other resource?,0
11,why do we need to use less of these energy sources?,0
11,which of the following is true?,0
11,Energy Star appliances,0
12,The Gulf of Mexico oil spill began with,1
12,Sources of water pollution include,1
12,"If dissolved fertilizer enters bodies of water, it can lead to",1
12,Bacteria are most likely to contaminate water if it is polluted by a(n),1
12,Nuclear power plants use water for,1
12,which of the following is true about the chemicals in the atmosphere?,0
12,leaks may be noticed when a lot of oil has soaked into the ground.,0
12,which of the following is a source of wastewater for a city?,0
12,Coastal water may become so polluted that people get sick if they,0
12,which of the following is harder to control?,0
12,the water that is heated by the sun is,0
12,which of these is a waste stream?,0
12,cities dump their wastewater into coastal waters.,0
12,which of the following is a health problem?,0
12,the cold water that flows through the towers absorbs heat.,0
13,A carbon tax,1
13,Air pollutants that destroy ozone high in the atmosphere are regulated by the,1
13,A car that runs on gasoline and electric power is,1
13,"In a cap-and-trade system, each nation is given a cap on emissions of",1
13,Catalytic converters,1
13,Removing carbon from the atmosphere is known as,1
13,Carbon taxes are meant to,1
13,Ways of reducing air pollution include,1
13,One purpose of catalytic converters is to,1
13,Scrubbers are used in,1
13,what is the best way to reduce air pollution?,0
13,the bill that created the fracking act was passed in,0
13,which of the following is true?,0
13,which of the following is a good way to reduce your carbon footprint?,0
13,how can we reduce carbon dioxide emissions?,0
13,which of the following is true?,0
13,which of the following is a chemical that trees take in for photosynthesis?,0
13,the size of the ossicles in the ring of fire is,0
13,which of the following is a compound that is primarily used in a fuel cell?,0
13,the goal of the ion transport system is,0
13,which of the following is a global agreement on air pollution?,0
13,which of the following technologies is most commonly used?,0
13,which of the following is true about carbon?,0
13,the Montreal Protocol is a worldwide agreement on,0
13,Scrubbers are used in,0
13,which of the following is a way to reduce carbon emissions?,0
13,what is carbon sequestration?,0
13,cars that run on hydrogen and produce no pollution have been developed.,0
13,which of these is a disadvantage of a hybrid car?,0
13,which of the following is a chemical that can damage the ozone layer?,0
14,What are the lighter areas on the Moon?,1
14,What is the dominant feature on the lunar surface?,1
14,The Moon has more extreme temperatures than Earth because it,1
14,The moons size is,1
14,The surface of the moon always looks the same because the moon has no,1
14,The coldest temperatures on the moon are found,1
14,You could find oxygen on the moon if you analyzed the,1
14,"what does the term ""semi-symbol"" mean?",0
14,the coldest temperatures on the moon are found,0
14,the average surface temperature during the day is,0
14,a lake is a lake because,0
14,the moon always faces,0
14,"on the moon, you can jump six times as high as you can on earth.",0
14,the moon has looked the same to every person who has looked up at it for all time.,0
14,the lunar landscape is covered by,0
14,the moons craters are,0
14,the moons crust is about,0
14,the coldest craters on the moon are,0
14,"if you were to weigh earth, you would be",0
14,the maria are,0
14,the core of a sandstone core is,0
15,The layer that shows beyond the Moon in a solar eclipse is the,1
15,Which layer of the Sun contains slow moving photons?,1
15,Most atoms in the Sun exist as,1
15,The energy that powers the Sun comes from,1
15,Cool areas where the magnetic field disrupts the surface are,1
15,Most of the atoms of the sun exist as,1
15,Most of the solar system is powered by energy that originates in the suns,1
15,Energy travels through the radiative zone of the sun as particles called,1
15,Solar flares occur when,1
15,The hottest part of the sun is the,1
15,Power grids and communication systems on Earth may be disturbed by a,1
15,nuclear fusion,0
15,the sun is made of,0
15,the jets can fly at speeds up to,0
15,the sun is made almost entirely of the elements,0
15,what is the role of gases in the atmosphere?,0
15,"if you are in a solar eclipse, you should",0
15,the outer layers of the sun are,0
15,what is the cause of solar flares?,0
15,which of the following is true?,0
15,The temperature of the ocean in the u.s. is,0
15,the solar wind,0
15,the helium atom has a temperature of about,0
15,the arch is a,0
15,which of the following is a good way to learn about telescopes?,0
15,solar prominences are,0
15,The sun is made of,0
15,a loop of the suns magnetic field may break.,0
15,the inner layers of the sun make up the,0
15,solar prominences,0
15,the corona is,0
15,The ocean floor is about,0
15,solar flares,0
16,What are the two distinct parts of Earths shadow during a solar eclipse?,1
16,"When the full moon moves through Earths shadow, what occurs?",1
16,A quarter moon is,1
16,What is the moon called when it is more than half lit?,1
16,The ecliptic is the,1
16,A total solar eclipse occurs when,1
16,A solar eclipse usually lasts for,1
16,which of the following is true about a syringe?,0
16,a total lunar eclipse occurs when,0
16,"when the moons shadow completely blocks the sun, it is a total solar eclipse.",0
16,a solar eclipse is,0
16,"when a new moon passes directly between the earth and the sun, it causes a",0
16,anyone with a view of the moon can see a,0
16,solar eclipses are,0
16,where is the light only partially blocked?,0
16,"when the moon passes through earths penumbra, it is a",0
16,a lunar eclipse,0
16,the moons shadow,0
16,"Unlike at night, when the sun is out,",0
16,solar eclipses are,0
16,the outline of a new moon in the sky,0
17,Types of star clusters include,1
17,A galaxy can contain how many stars?,1
17,Elliptical galaxies contain,1
