chapter,question,context
0,Wind drops the sediment it is carrying when it,"Like water, when wind slows down it drops the sediment its carrying."
0,A sand dune migrates because wind keeps,"When the sand grains reach the top of the dune, they slip down the steeper side."
0,Deposits called loess,Loess deposits form vertical cliffs.
0,Loess deposits consist of,"When the wind drops fine particles of silt and clay, it forms deposits called loess."
1,Winds always blow from an area of higher to lower,Air always flows from an area of higher pressure to an area of lower pressure.
1,Winds blow when,Air always flows from an area of higher pressure to an area of lower pressure.
1,Examples of local winds include,Monsoons occur in several places around the globe.
1,Air that rises over the equator sinks back to the surface at,"By the time the moving air reaches 30 N or S latitude, it has cooled."
1,The northern polar jet stream helps planes fly from,"Jet streams circle the planet, mainly from west to east."
2,A warm front occurs when,When a warm air mass runs into a cold air mass it creates a warm front.
2,Thunderstorms tend to form,"In the spring and summer, these storms may be thunderstorms and tornadoes."
2,Which type of air mass has cold dry air?,"For example, a continental polar air mass has cold dry air."
2,How do winds blow in a cyclone?,A cyclone is a system of winds that rotates around a center of low pressure.
3,What instrument measures atmospheric pressure?,Figure 16.23 shows how a barometer works.
3,"To get a picture of a storm, meteorologists use",Some weather maps show many weather conditions.
3,Commonly used weather instruments include,A rain gauge measures the amount of rain.
3,Instruments that measure air movement include,An anemometer measures wind speed.
3,Which type of weather should you expect if a low pressure center is moving your way?,"For example, low pressure is likely to bring stormy weather."
3,A scientist who studies and predicts the weather is a,These rules help meteorologists forecast the weather.
3,Weather data are collected in the atmosphere by,"They include weather balloons, satellites, and radar."
4,The most solar radiation over a year strikes,"At the poles, the Suns rays are least direct."
4,"Compared with lower altitudes, at higher altitudes the air molecules are","Since air is less dense at higher altitudes, its molecules are spread farther apart than they are at sea level."
4,Climate includes,The timing of precipitation is part of climate as well.
4,The main factor that determines the climate of a place is,Latitude is the main factor.
5,air masses form primarily in,"Air masses form primarily in high pressure zones, most commonly in polar and tropical regions."
5,temperate zones tend to have interesting weather because,"Instead, air masses move across temperate zones, so the middle latitudes are prone to having interesting weather."
5,three letters specify the source region of an air mass; e.g. cpk. these three letters indicate in order:,"Symbols: (1) origin over a continent (c) or an ocean (m, for maritime); (2) arctic (A), polar (P,) tropical (T), and equatorial (E); (3) properties relative to the ground it moves over: k, for colder, w for warmer."
5,how does air movement keep earths temperature balanced?,"In general, cold air masses tend to flow toward the Equator and warm air masses tend to flow toward the poles."
6,all the individuals of a single species that live together in a particular location are a(n),A population consists of all individuals of a single species that exist together at a given place and time.
